price,isOneOwner,mileage,year,displacement,trim
57.994,0,11.238,2012,4.6,7.0
17.995,0,59.1,2005,5.0,5.0
40.991,0,56.249,2010,5.5,7.0
49.995,1,18.62,2012,4.6,7.0
11.995,0,99.13,2004,4.3,4.0
26.995,0,73.186,2007,5.5,7.0
7.999,0,152.507,2000,5.0,5.0
53.999,1,15.356,2013,4.6,7.0
13.85,0,131.231,2004,5.0,5.0
49.9,1,29.832,2010,5.5,7.0
12.95,0,56.272,2005,4.3,4.0
52.999,0,12.433,2013,4.6,7.0
39.941,0,71.208,2007,5.5,7.0
4.995,0,222.514,1996,4.2,3.0
59.567,1,25.877,2013,4.6,7.0
34.9,0,47.103,2009,5.5,7.0
49.99,0,44.001,2011,5.5,7.0
23.995,0,82.671,2007,5.5,7.0
33.998,1,63.868,2008,5.5,7.0
20.499,0,30.0,2007,5.5,7.0
7.995,0,141.514,2001,4.3,4.0
33.592,1,75.32,2010,5.5,7.0
31.495,0,91.553,2007,5.5,7.0
25.995,0,78.641,2007,5.5,7.0
31.95,0,103.127,2008,6.3,9.0
9.995,0,143.816,2001,5.0,5.0
55.45,1,34.087,2012,4.6,7.0
37.977,0,53.828,2010,5.5,7.0
76.977,1,11.946,2013,4.6,7.0
49.995,0,55.553,2012,4.6,7.0
9.9,0,90.455,2000,5.0,5.0
35.996,0,36.155,2007,5.5,7.0
49.995,1,24.828,2012,3.0,1.0
39.999,0,58.944,2011,5.5,7.0
4.4,0,148.822,2003,4.3,4.0
19.999,0,119.91,2006,6.0,10.0
54.88,1,18.087,2012,4.6,7.0
9.99,0,51.573,1995,5.0,5.0
5.99,0,139.948,1999,3.2,0.0
26.95,0,122.444,2008,5.5,7.0
36.977,0,46.546,2009,5.5,7.0
56.991,0,29.072,2012,4.6,7.0
27.995,0,91.217,2008,5.5,7.0
32.899,1,57.4,2008,5.5,7.0
59.8,0,46.669,2012,4.6,7.0
10.888,0,92.452,2004,4.3,4.0
64.995,0,50.885,2010,6.3,9.0
62.9,0,28.236,2013,4.6,7.0
39.995,0,31.233,2011,5.5,7.0
60.999,0,42.993,2013,4.6,7.0
34.988,0,44.256,2008,5.5,7.0
6.885,0,118.035,2001,5.0,5.0
17.99,0,100.006,2006,5.0,5.0
32.995,0,64.68,2008,5.5,7.0
39.991,0,52.065,2009,5.5,7.0
7.449,0,109.661,2002,5.0,5.0
58.5,1,25.515,2012,4.6,7.0
5.5,0,148.0,1995,6.0,8.0
66.975,0,13.149,2011,5.5,9.0
34.991,0,83.183,2008,5.5,7.0
41.995,0,45.957,2011,5.5,7.0
37.995,1,51.612,2010,5.5,7.0
45.999,1,33.545,2012,4.6,7.0
9.998,0,119.629,2003,4.3,4.0
9.95,0,110.856,2004,4.3,4.0
6.995,0,124.059,2000,5.0,5.0
23.995,0,92.688,2008,5.5,7.0
39.995,0,91.112,2012,4.6,7.0
24.995,0,92.05,2007,5.5,7.0
32.98,1,107.657,2011,5.5,7.0
15.98,0,49.654,2002,5.4,6.0
37.888,0,40.519,2008,5.5,7.0
31.991,0,60.251,2007,5.5,8.0
22.0,0,121.843,2007,5.5,7.0
4.9,0,232.121,2002,4.3,4.0
